VARIABLES="time" "temp" "u" "rho" "H2" "O2" "H2O" "H" "O" "OH" "HO2" "H2O2" "N2"
ZONE I=200 F=POINT
0.00060779220779 1100.0 61.0 29.790607185030265 0.05064741768341954 0.15257093731456994 0.07666583941513294 0.0 0.0 0.0 0.0 0.0 0.7201158055868777
0.00062337662337 1100.0 61.0 29.7484615231559 0.05210090364934771 0.15233734684425793 0.07654846182146369 0.0 0.0 0.0 0.0 0.0 0.7190132876849307
0.00063896103896 1100.0 61.0 29.706444716428972 0.05354994576174228 0.152104470547912 0.07643144309526659 0.0 0.0 0.0 0.0 0.0 0.7179141405950791
0.00065454545454 1100.0 61.0 29.664556174813477 0.05499456436929512 0.1518723051552835 0.07631478159326435 0.0 0.0 0.0 0.0 0.0 0.716818348882157
0.00067012987013 1100.0 61.0 29.622795311870284 0.05643477969665012 0.1516408474160596 0.07619847568219727 0.0 0.0 0.0 0.0 0.0 0.7157258972050929
0.00068571428571 1100.0 61.0 29.581161544729863 0.05787061184534705 0.15141009409971162 0.07608252373874708 0.0 0.0 0.0 0.0 0.0 0.7146367703161943
0.00070129870129 1100.0 61.0 29.539654294065112 0.059302080794756795 0.15118004199534466 0.0759669241494613 0.0 0.0 0.0 0.0 0.0 0.7135509530604373
0.00071688311688 1100.0 61.0 29.498272984064506 0.06072920640300798 0.15095068791154873 0.0758516753106785 0.0 0.0 0.0 0.0 0.0 0.7124684303747647
0.00073246753246 1100.0 61.0 29.45701704240547 0.06215200840790538 0.1507220286762512 0.07573677562845421 0.0 0.0 0.0 0.0 0.0 0.7113891872873892
0.00074805194805 1100.0 61.0 29.415885900227952 0.06357050642783976 0.1504940611365705 0.07562222351848723 0.0 0.0 0.0 0.0 0.0 0.7103132089171026
0.00076363636363 1100.0 61.0 29.374878992108368 0.06498471996268963 0.15026678215867117 0.07550801740604696 0.0 0.0 0.0 0.0 0.0 0.7092404804725922
0.00077922077922 1100.0 61.0 29.33399575603358 0.06639466839471479 0.15004018862762036 0.0753941557259012 0.0 0.0 0.0 0.0 0.0 0.7081709872517635
0.00079480519480 1100.0 61.0 29.293235633375332 0.06780037098944187 0.14981427744724554 0.07528063692224472 0.0 0.0 0.0 0.0 0.0 0.7071047146410678
0.00081038961039 1100.0 61.0 29.252598068864703 0.06920184689654163 0.1495890455399933 0.07516745944862824 0.0 0.0 0.0 0.0 0.0 0.7060416481148368
0.00082597402597 1100.0 61.0 29.212082510566983 0.07059911515069872 0.14936448984678982 0.0750546217678883 0.0 0.0 0.0 0.0 0.0 0.7049817732346232
0.00084155844155 1100.0 61.0 29.171688409856603 0.07199219467247345 0.14914060732690212 0.0749421223520777 0.0 0.0 0.0 0.0 0.0 0.7039250756485468
0.00085714285714 1100.0 61.0 29.131415221392455 0.07338110426915567 0.14891739495780118 0.0748299596823965 0.0 0.0 0.0 0.0 0.0 0.7028715410906466
0.00087272727272 1100.0 61.0 29.091262403093264 0.07476586263561129 0.14869484973502547 0.07471813224912362 0.0 0.0 0.0 0.0 0.0 0.7018211553802396
0.00088831168831 1100.0 61.0 29.05122941611334 0.07614648835512094 0.14847296867204654 0.07460663855154914 0.0 0.0 0.0 0.0 0.0 0.7007739044212833
0.00090389610389 1100.0 61.0 29.01131572481843 0.0775229999002114 0.1482517488001352 0.07449547709790727 0.0 0.0 0.0 0.0 0.0 0.6997297742017461
0.00091948051948 1100.0 61.0 28.971520796761844 0.07889541563347931 0.14803118716822916 0.07438464640530962 0.0 0.0 0.0 0.0 0.0 0.6986887507929819
0.00093506493506 1100.0 61.0 28.93184410266078 0.08026375380840789 0.14781128084280187 0.0742741449996794 0.0 0.0 0.0 0.0 0.0 0.6976508203491107
0.00095064935064 1100.0 61.0 28.892285116372847 0.08162803257017598 0.14759202690773235 0.07416397141568601 0.0 0.0 0.0 0.0 0.0 0.6966159691064057
0.00096623376623 1100.0 61.0 28.852843314872825 0.08298826995646033 0.14737342246417637 0.07405412419668032 0.0 0.0 0.0 0.0 0.0 0.6955841833826829
0.00098181818181 1100.0 61.0 28.8135181782296 0.08434448389823039 0.14715546463043877 0.07394460189463047 0.0 0.0 0.0 0.0 0.0 0.6945554495767005
0.00099740259740 1100.0 61.0 28.774309189583324 0.08569669222053626 0.1469381505418466 0.0738354030700581 0.0 0.0 0.0 0.0 0.0 0.6935297541675592
0.00101298701299 1100.0 61.0 28.735215835122762 0.08704491264328967 0.1467214773506238 0.07372652629197551 0.0 0.0 0.0 0.0 0.0 0.6925070837141111
0.00102857142857 1100.0 61.0 28.696237604062873 0.08838916278203798 0.14650544222576678 0.07361797013782298 0.0 0.0 0.0 0.0 0.0 0.6914874248543722
0.00104415584416 1100.0 61.0 28.657373988622535 0.08972946014873143 0.14629004235292115 0.07350973319340692 0.0 0.0 0.0 0.0 0.0 0.6904707643049405
0.00105974025974 1100.0 61.0 28.618624484002506 0.09106582215248349 0.14607527493425937 0.07340181405283838 0.0 0.0 0.0 0.0 0.0 0.6894570888604188
0.00107532467532 1100.0 61.0 28.57998858836357 0.09239826610032476 0.14586113718835972 0.07329421131847218 0.0 0.0 0.0 0.0 0.0 0.6884463853928433
0.00109090909091 1100.0 61.0 28.541465802804865 0.09372680919795 0.14564762635008627 0.07318692360084669 0.0 0.0 0.0 0.0 0.0 0.687438640851117
0.00110649350649 1100.0 61.0 28.503055631342427 0.09505146855045876 0.14543473967046971 0.07307994951862384 0.0 0.0 0.0 0.0 0.0 0.6864338422604476
0.00112207792208 1100.0 61.0 28.464757580887884 0.09637226116308953 0.14522247441658956 0.07297328769853004 0.0 0.0 0.0 0.0 0.0 0.6854319767217909
0.00113766233766 1100.0 61.0 28.42657116122735 0.09768920394194736 0.14501082787145697 0.07286693677529722 0.0 0.0 0.0 0.0 0.0 0.6844330314112984
0.00115324675325 1100.0 61.0 28.38849588500054 0.09900231369472522 0.1447997973338991 0.07276089539160471 0.0 0.0 0.0 0.0 0.0 0.6834369935797711
0.00116883116883 1100.0 61.0 28.35053126768001 0.10031160713141898 0.144589380118444 0.07265516219802146 0.0 0.0 0.0 0.0 0.0 0.6824438505521156
0.00118441558442 1100.0 61.0 28.32704856645298 0.10112145979851739 0.14445922828359628 0.07258976180233898 0.0 0.0 0.0 0.0 0.0 0.6818295501155474
0.10000000000000 1100.0 61.0 28.32704856645298 0.10112145979851739 0.14445922828359628 0.07258976180233898 0.0 0.0 0.0 0.0 0.0 0.6818295501155474
